LncRNA name	MiRNA name 	Gene name	Disease(TCGA)	Activity score
RP11-677M14.8	hsa-miR-29b-3p	NKIRAS2	ACC	0.395139985078622
RP11-677M14.8	hsa-miR-29c-3p	COL15A1	ACC	0.394666703946317
RP11-342K2.1	hsa-miR-29a-3p	NASP	ACC	0.390655507723365
RP11-342K2.1	hsa-miR-29c-3p	SPARC	ACC	0.387877858796339
RP11-677M14.8	hsa-miR-29c-3p	TET1	ACC	0.387870850663009
RP11-342K2.1	hsa-miR-29a-3p	TRAF4	ACC	0.387245559358571
LINC01278	hsa-miR-130a-3p	XIAP	ACC	0.384776223785954
RP11-342K2.1	hsa-miR-29c-3p	ADAM12	ACC	0.380528516014159
ZRANB2-AS2	hsa-miR-27a-5p	PPARD	ACC	0.379277202045739
RP5-1074L1.4	hsa-miR-29c-3p	TDG	ACC	0.37860997099746
RP1-193H18.2	hsa-miR-96-5p	TIMP1	ACC	0.376414670293845
RP11-342K2.1	hsa-miR-29c-3p	TGIF2	ACC	0.376103028880731
RP11-342K2.1	hsa-miR-29b-3p	ADAM12	ACC	0.375689804418384
LINC01578	hsa-miR-29b-3p	BMP1	ACC	0.375445093051798
DLX6-AS1	hsa-miR-146a-5p	MVD	ACC	0.375437535247559
LINC02105	hsa-miR-452-5p	LEF1	ACC	0.374648590096448
RP11-342K2.1	hsa-miR-29c-3p	DNMT3A	ACC	0.374007435172102
RP11-342K2.1	hsa-miR-29b-3p	IMPDH1	ACC	0.373445973626866
RP11-342K2.1	hsa-miR-29b-3p	NASP	ACC	0.370802882884445
RP11-342K2.1	hsa-miR-29a-3p	FSTL1	ACC	0.369750772394432
RP11-303E16.2	hsa-miR-138-5p	H2AFX	ACC	0.369540927708921
RP11-66N24.3	hsa-miR-150-5p	VEGFA	ACC	0.368293364152473
MALAT1	hsa-miR-96-5p	TIMP1	ACC	0.367966643990972
RP11-677M14.8	hsa-miR-29b-3p	SFPQ	ACC	0.36781735120862
NORAD	hsa-miR-485-3p	PBRM1	ACC	0.36684031348216
RP11-553L6.5	hsa-miR-550a-5p	CPEB4	ACC	0.366777923617754
RP5-1074L1.4	hsa-miR-29a-3p	NASP	ACC	0.366578259476543
FTX	hsa-miR-200c-3p	XIAP	ACC	0.366463722281618
RP11-342K2.1	hsa-miR-29a-3p	TRAF5	ACC	0.365929498539341
LINC01278	hsa-miR-130b-3p	CYLD	ACC	0.36574131882602
RP11-342K2.1	hsa-miR-29c-3p	FBN1	ACC	0.365311486989744
RP11-677M14.8	hsa-miR-29c-3p	DNMT3B	ACC	0.363114082814914
RP11-196G11.6	hsa-miR-96-5p	TIMP1	ACC	0.362454884122437
LINC00324	hsa-miR-331-3p	NRP2	ACC	0.36225989548459
FTX	hsa-miR-200c-3p	NCAM1	ACC	0.361829524513953
RP11-342K2.1	hsa-miR-29b-3p	AKT2	ACC	0.360702632483025
RP5-1074L1.4	hsa-miR-29c-3p	TET1	ACC	0.358694413480981
LINC01578	hsa-miR-29b-3p	MMP15	ACC	0.35869386395979
RP11-342K2.1	hsa-miR-29b-3p	DNMT1	ACC	0.357920327425938
RP1-193H18.2	hsa-miR-96-5p	ZEB1	ACC	0.357433425666165
SNHG16	hsa-miR-30b-3p	ADAM12	ACC	0.357374451548377
FTX	hsa-miR-200c-3p	ATRX	ACC	0.357010044722027
RP11-244H3.1	hsa-miR-509-3-5p	PLK1	ACC	0.353576818821751
OIP5-AS1	hsa-miR-137	E2F6	ACC	0.352987507294459
LINC01578	hsa-miR-29b-3p	NASP	ACC	0.350854675721767
RP5-1024G6.5	hsa-miR-106b-5p	RBL2	ACC	0.350145342378591
AC007292.6	hsa-miR-378a-3p	CDK6	ACC	0.34887793409161
OIP5-AS1	hsa-miR-340-5p	CDK6	ACC	0.348387817884292
NORAD	hsa-miR-485-3p	PPARGC1A	ACC	0.347423579323272
PINK1-AS	hsa-miR-27a-3p	FBXW7	ACC	0.346639547908882
FTX	hsa-miR-93-5p	PURA	ACC	0.346406518186093
RP11-342K2.1	hsa-miR-29b-3p	FBN1	ACC	0.343722620185511
MALAT1	hsa-miR-25-3p	FBXW7	ACC	0.34141046054851
LINC01184	hsa-miR-93-5p	ZBTB4	ACC	0.340984424442079
RP11-677M14.8	hsa-miR-29b-3p	HMGA2	ACC	0.340336732929375
RP5-1074L1.4	hsa-miR-29c-3p	TGIF2	ACC	0.340318320582668
RP11-677M14.8	hsa-miR-29a-3p	CCNT2	ACC	0.339967272322418
LINC01578	hsa-miR-29b-3p	CDK6	ACC	0.339961574191186
RP11-677M14.8	hsa-miR-29a-3p	NASP	ACC	0.33986182625358
LINC01278	hsa-miR-130a-3p	PPARGC1A	ACC	0.339676108900357
AC008079.10	hsa-miR-181a-5p	NLK	ACC	0.339023235148636
RP11-677M14.8	hsa-miR-29c-3p	BCL2	ACC	0.337676829163883
RP11-257O5.2	hsa-miR-380-5p	CD274	ACC	0.337456964979795
OIP5-AS1	hsa-miR-137	CDK6	ACC	0.336815962621422
LINC01278	hsa-miR-130b-3p	PPARGC1A	ACC	0.336241544982155
RP11-33E12.2	hsa-miR-193a-3p	RPS6KB2	ACC	0.33605641898976
LINC01578	hsa-miR-29b-3p	IMPDH1	ACC	0.335848590483848
RP11-770J1.5	hsa-miR-508-3p	PIKFYVE	ACC	0.335046007416172
LINC00910	hsa-miR-503-5p	PRDM1	ACC	0.335002785179229
BACE1-AS	hsa-miR-7-5p	RELA	ACC	0.334454172753269
RP11-342K2.1	hsa-miR-29c-3p	CDK6	ACC	0.334164117510744
RP11-677M14.8	hsa-miR-29b-3p	TDG	ACC	0.333948368092141
LINC00910	hsa-miR-503-5p	ETS1	ACC	0.333644806332054
RP5-1074L1.4	hsa-miR-29a-3p	CCNT2	ACC	0.332783912567569
C17orf102	hsa-miR-26b-5p	LARP1	ACC	0.332560850915142
RP11-677M14.8	hsa-miR-29a-3p	NFIA	ACC	0.331768100263789
TUG1	hsa-miR-29a-3p	CCNT2	ACC	0.330719835515433
SNHG16	hsa-miR-506-3p	SPHK1	ACC	0.330448597691829
LINC-PINT	hsa-miR-128-1-5p	BMI1	ACC	0.330197469920733
FTX	hsa-miR-200c-3p	NTF3	ACC	0.329796802134514
RP11-677M14.8	hsa-miR-29a-3p	TRAF5	ACC	0.329622739386484
RP11-677M14.8	hsa-miR-29b-3p	NASP	ACC	0.328824264269085
LINC01012	hsa-miR-30b-3p	ADAM12	ACC	0.328629423426113
RP5-1074L1.4	hsa-miR-29a-3p	CDC7	ACC	0.328297449809003
RP11-677M14.8	hsa-miR-29c-3p	TGIF2	ACC	0.328295068062902
KB-1208A12.3	hsa-miR-138-5p	H2AFX	ACC	0.327491672953443
RP11-677M14.8	hsa-miR-29c-3p	COL5A2	ACC	0.326243184348553
RP11-342K2.1	hsa-miR-29c-3p	MMP15	ACC	0.325892741396574
RP11-677M14.8	hsa-miR-29b-3p	TET1	ACC	0.325161754335874
OIP5-AS1	hsa-miR-137	RORA	ACC	0.322775658374428
AC005154.6	hsa-miR-128-3p	PIK3R1	ACC	0.32208629288508
RP11-303E16.2	hsa-miR-138-5p	AURKA	ACC	0.321108638585529
RP11-819C21.1	hsa-miR-221-3p	TBK1	ACC	0.320514882510424
SNHG14	hsa-miR-506-5p	CTNNB1	ACC	0.320430367334819
RP5-1074L1.4	hsa-miR-29a-3p	TET1	ACC	0.320303288569319
FTX	hsa-miR-200c-3p	JAZF1	ACC	0.320265984664499
LINC01578	hsa-miR-29b-3p	SERPINH1	ACC	0.320035023185684
RP1-191J18.66	hsa-miR-34a-5p	RAD51	ACC	0.319520838052856
C1orf132	hsa-miR-942-5p	SFRP4	ACC	0.319436598492415
RP5-1024G6.5	hsa-miR-106b-5p	ZBTB4	ACC	0.319435884279802
RP11-677M14.8	hsa-miR-29a-3p	TDG	ACC	0.318202994491894
LINC01278	hsa-miR-130b-3p	TP53INP1	ACC	0.318160311402579
KDM4A-AS1	hsa-let-7e-5p	EIF3J	ACC	0.316870522068771
RP11-677M14.8	hsa-miR-29a-3p	TET1	ACC	0.316418972730945
RP11-582E3.6	hsa-let-7a-3p	CCND2	ACC	0.316385425407
RP5-1024G6.5	hsa-miR-106b-5p	CCND2	ACC	0.316068383240485
AC008079.10	hsa-miR-181a-5p	MTMR3	ACC	0.315835627015116
CCDC18-AS1	hsa-miR-9-5p	PRDM1	ACC	0.315568301645869
LINC01184	hsa-miR-93-5p	PURA	ACC	0.315102549483524
RP13-39P12.3	hsa-miR-130a-3p	XIAP	ACC	0.314771200027382
RP5-1074L1.4	hsa-miR-29a-3p	TRAF5	ACC	0.313975084688445
LINC01578	hsa-miR-29b-3p	BCL7A	ACC	0.313503067683629
SNHG16	hsa-miR-506-3p	GLI3	ACC	0.3123116950579
KDM4A-AS1	hsa-miR-328-3p	BACE1	ACC	0.311258220920351
RP5-1074L1.4	hsa-miR-29a-3p	MUC1	ACC	0.310946011165954
LINC00910	hsa-miR-503-5p	POU2F2	ACC	0.310187304517605
RP11-1260E13.4	hsa-miR-466	TRIM13	ACC	0.309057053870463
RP5-1024G6.5	hsa-miR-93-5p	ZBTB4	ACC	0.308934719664854
RP11-342K2.1	hsa-miR-101-5p	STMN1	ACC	0.308167043450268
SNHG3	hsa-miR-509-3p	YAP1	ACC	0.308101262306672
LINC00894	hsa-miR-33a-3p	ABCA1	ACC	0.307513973561294
RP11-677M14.8	hsa-miR-29c-3p	SRSF10	ACC	0.306975444534776
FTX	hsa-miR-200c-3p	LEPR	ACC	0.306715291870174
MIR4435-2HG	hsa-miR-340-5p	CDK6	ACC	0.306097457824748
RP5-1074L1.4	hsa-miR-29a-3p	DNMT3A	ACC	0.30565983328684
RP5-1074L1.4	hsa-miR-29a-3p	TDG	ACC	0.304581723111997
RP11-348N5.7	hsa-miR-181b-5p	SIRT1	ACC	0.304555182667646
RP5-1074L1.4	hsa-miR-29c-3p	SRSF10	ACC	0.303530800569224
RP5-1074L1.4	hsa-miR-29c-3p	DNMT3A	ACC	0.30326353418833
SNHG16	hsa-miR-506-3p	YAP1	ACC	0.301509986933304
ZRANB2-AS2	hsa-miR-27a-5p	TXN2	ACC	0.301397089043963
RP11-342K2.1	hsa-miR-101-5p	ACKR3	ACC	0.301395454551289
RP1-191J18.66	hsa-miR-34a-5p	TGIF2	ACC	0.301227419094276
RP11-140H17.2	hsa-miR-135a-5p	SIAH1	ACC	0.300920457634873
SH3BP5-AS1	hsa-miR-181a-5p	MEG3	ACC	0.298699901283003
LINC01578	hsa-miR-29b-3p	KIF1B	ACC	0.298680597977191
DLX6-AS1	hsa-miR-146a-5p	CCND1	ACC	0.298149729166242
LINC01184	hsa-miR-93-5p	TUSC2	ACC	0.296992641048865
LINC01278	hsa-miR-130b-3p	NR3C1	ACC	0.296102846160824
FTX	hsa-miR-200c-3p	BRD7	ACC	0.296070913061701
FOXD2-AS1	hsa-miR-139-3p	MMP11	ACC	0.295835798906412
RP1-193H18.2	hsa-miR-96-5p	RECK	ACC	0.295678896337127
RP1-191J18.66	hsa-miR-34a-5p	E2F2	ACC	0.295572719445615
RP11-282O18.3	hsa-miR-665	CD274	ACC	0.295269311098763
RP11-342K2.1	hsa-miR-101-5p	CCDC88A	ACC	0.294726875029391
RP11-677M14.8	hsa-miR-29a-3p	CCND1	ACC	0.294691192958816
TAPT1-AS1	hsa-miR-744-5p	EEF1A2	ACC	0.294673822793612
DLX6-AS1	hsa-miR-146a-5p	NFIX	ACC	0.294632145781206
XIST	hsa-let-7d-5p	MPL	ACC	0.293519574832465
RP5-1074L1.4	hsa-miR-29c-3p	DNMT3B	ACC	0.293472710681019
RP13-39P12.3	hsa-miR-130b-3p	CYLD	ACC	0.293327890354976
CCDC18-AS1	hsa-miR-9-5p	POU2F2	ACC	0.292594292908552
RP11-819C21.1	hsa-miR-221-3p	DICER1	ACC	0.29088235454522
RP5-1024G6.5	hsa-miR-93-5p	TUSC2	ACC	0.289984801965968
AC005154.6	hsa-miR-128-3p	CSF1	ACC	0.289330790173567
LINC01578	hsa-miR-29b-3p	CDC42	ACC	0.288566741079684
CCDC18-AS1	hsa-miR-9-5p	TGFBI	ACC	0.287937746416674
RP5-1074L1.4	hsa-miR-29a-3p	SETDB1	ACC	0.28703847301791
RP11-348N5.7	hsa-miR-181b-5p	CBX7	ACC	0.28699160611922
RP5-1024G6.5	hsa-miR-106b-5p	MAPK9	ACC	0.286946753045512
CCDC18-AS1	hsa-miR-9-5p	FOXP1	ACC	0.286920693169613
RP11-334C17.5	hsa-miR-20a-5p	BAMBI	ACC	0.286114150922328
RP11-1260E13.4	hsa-miR-339-5p	BACE1	ACC	0.285971456805412
RP1-191J18.66	hsa-miR-34a-5p	SMAD4	ACC	0.285943630132169
RP1-191J18.66	hsa-miR-34a-5p	AGBL5	ACC	0.285207752013264
RP5-1074L1.4	hsa-miR-29a-3p	NFIA	ACC	0.284922674046749
DLX6-AS1	hsa-miR-146a-5p	ELAVL1	ACC	0.284007719353078
MALAT1	hsa-miR-25-3p	MAP2K4	ACC	0.283664389435633
TUG1	hsa-miR-29a-3p	NASP	ACC	0.283483091111753
ANKRD10-IT1	hsa-miR-183-5p	ZEB1	ACC	0.28288087793173
FTX	hsa-miR-93-5p	SLC2A4	ACC	0.280936911026154
RP11-481C4.2	hsa-miR-501-5p	GSK3B	ACC	0.279433672836035
RP4-669K10.8	hsa-miR-138-5p	H2AFX	ACC	0.277313936162235
LINC02035	hsa-miR-330-5p	ITGA5	ACC	0.276879038795696
OIP5-AS1	hsa-miR-137	WNT11	ACC	0.276388320715982
RP1-191J18.66	hsa-miR-34a-5p	GFRA3	ACC	0.2750778710321
CTC-479C5.10	hsa-miR-24-3p	COPS5	ACC	0.274843378479688
PINK1-AS	hsa-miR-27a-3p	PLAG1	ACC	0.274233592678936
FTX	hsa-miR-200c-3p	UBE2I	ACC	0.273222134226389
RP11-677M14.8	hsa-miR-29a-3p	SETDB1	ACC	0.272221093052444
RP4-669K10.8	hsa-miR-138-5p	AURKA	ACC	0.269761759300397
RP11-677M14.8	hsa-miR-29b-3p	CCND1	ACC	0.269132944726664
ZRANB2-AS2	hsa-miR-27b-5p	PXN	ACC	0.267641712402334
OIP5-AS1	hsa-miR-137	KDM5B	ACC	0.267545196956105
IL21R-AS1	hsa-miR-30b-3p	ADAM12	ACC	0.266912131708208
LINC01278	hsa-miR-130a-3p	RAB5A	ACC	0.26648099601235
SNHG11	hsa-miR-107	SNCG	ACC	0.265535327442587
RP5-1024G6.5	hsa-miR-106b-5p	PKD2	ACC	0.262834376574556
KDM4A-AS1	hsa-miR-486-3p	BCL11A	ACC	0.261457741378902
TSIX	hsa-miR-340-5p	IL4	ACC	0.260065583538792
RP1-191J18.66	hsa-miR-34a-5p	MYC	ACC	0.259318670918325
RP13-39P12.3	hsa-miR-130b-3p	TP53INP1	ACC	0.259287246759386
RP5-1074L1.4	hsa-miR-29a-3p	DKK1	ACC	0.253801625467221
TUG1	hsa-miR-29a-3p	TRAF5	ACC	0.249394907956633
RP13-39P12.3	hsa-miR-130a-3p	RAB5A	ACC	0.245897120518655
MBNL1-AS1	hsa-miR-128-1-5p	BMI1	ACC	0.244061630236835
RP11-348N5.7	hsa-miR-181b-5p	MAP3K10	ACC	0.242395583490494
CTD-2013N24.2	hsa-miR-500a-5p	OTUD7B	ACC	0.242039783237833
LINC01278	hsa-miR-130a-3p	CSF1	ACC	0.238675123258773
ANKRD10-IT1	hsa-miR-183-5p	SOCS6	ACC	0.232717268274827
RP11-588K22.2	hsa-miR-103a-3p	SFRP4	BLCA	0.47070647630574
TRG-AS1	hsa-miR-98-5p	CCL5	BLCA	0.447659359209136
RP5-1198O20.4	hsa-miR-92a-3p	ITGA5	BLCA	0.435828352502097
RP11-147L13.12	hsa-miR-155-5p	ZNF652	BLCA	0.427124370704947
TRG-AS1	hsa-miR-183-5p	RECK	BLCA	0.418571620444982
TUG1	hsa-miR-29a-3p	CCNT2	BLCA	0.417854706904744
RP11-147L13.12	hsa-miR-155-5p	MSI2	BLCA	0.417326913152849
NR2F1-AS1	hsa-miR-29c-3p	LOX	BLCA	0.413308037088793
TRG-AS1	hsa-miR-183-5p	ZEB1	BLCA	0.411612510444089
AC007750.5	hsa-miR-361-5p	TWIST1	BLCA	0.410615204987032
RP5-1198O20.4	hsa-miR-92a-3p	KLF2	BLCA	0.405154324418972
RP11-147L13.12	hsa-miR-155-5p	ZNF248	BLCA	0.404187539425179
NR2F1-AS1	hsa-miR-29c-3p	COL5A2	BLCA	0.403990478145253
RP11-588K22.2	hsa-miR-103a-3p	CACNA1C	BLCA	0.394956127006858
RP11-147L13.12	hsa-miR-155-5p	MAPK8IP3	BLCA	0.394493039108045
TRG-AS1	hsa-let-7a-5p	MYO1F	BLCA	0.392612516690574
RP11-147L13.12	hsa-miR-155-5p	CBR4	BLCA	0.390851767173262
RP5-1074L1.4	hsa-miR-29a-3p	CCNT2	BLCA	0.390181021810988
RP5-1198O20.4	hsa-miR-92a-3p	VIM	BLCA	0.38995252063713
RP11-147L13.12	hsa-miR-155-5p	TRAK1	BLCA	0.389621361292271
TRG-AS1	hsa-let-7e-5p	FASLG	BLCA	0.389379479662283
NR2F1-AS1	hsa-miR-29c-3p	FBN1	BLCA	0.389349287334402
RP5-1198O20.4	hsa-miR-25-3p	HAND2	BLCA	0.382293783342573
RP11-147L13.12	hsa-miR-155-5p	ZNF83	BLCA	0.38144127799963
RP11-588K22.2	hsa-miR-103a-3p	CAV1	BLCA	0.377365511981143
RP5-899E9.1	hsa-let-7g-5p	COL1A2	BLCA	0.376862013885157
TRG-AS1	hsa-miR-98-5p	IL10	BLCA	0.376258440570242
NR2F1-AS1	hsa-miR-29c-3p	COL1A1	BLCA	0.374307016734027
NR2F1-AS1	hsa-miR-29c-3p	SPARC	BLCA	0.373272466294996
TRG-AS1	hsa-let-7e-5p	MMP9	BLCA	0.372538666595996
FENDRR	hsa-miR-92a-1-5p	KLF2	BLCA	0.370848143309022
NR2F1-AS1	hsa-miR-29c-3p	COL1A2	BLCA	0.369168850146191
RP11-54O7.3	hsa-miR-27a-5p	PPARG	BLCA	0.3678719569273
NR2F1-AS1	hsa-miR-29c-3p	PDGFRB	BLCA	0.367236274939018
NR2F1-AS1	hsa-miR-29b-3p	PDGFC	BLCA	0.366652283475119
TRG-AS1	hsa-miR-196b-5p	CD8A	BLCA	0.365060747275501
NR2F1-AS1	hsa-miR-29c-3p	COL3A1	BLCA	0.364876077854578
RP5-899E9.1	hsa-let-7a-5p	MYO1F	BLCA	0.36268010317341
TUG1	hsa-miR-29a-3p	TET3	BLCA	0.36226626048741
LINC-PINT	hsa-miR-203a-3p	ZEB2	BLCA	0.36198870093686
RP5-899E9.1	hsa-let-7g-5p	FN1	BLCA	0.3611086234262
RP11-147L13.12	hsa-miR-155-5p	PKIA	BLCA	0.360190952473071
TRG-AS1	hsa-miR-98-5p	IL6	BLCA	0.359224615164786
MBNL1-AS1	hsa-miR-16-2-3p	RARB	BLCA	0.357957383298839
RP11-147L13.12	hsa-miR-155-5p	ZNF254	BLCA	0.355431233173903
RP11-147L13.12	hsa-miR-155-5p	AGO4	BLCA	0.354982440816637
RP5-899E9.1	hsa-let-7e-5p	MMP9	BLCA	0.35425074390197
TEX26-AS1	hsa-miR-30b-3p	ADAM12	BLCA	0.353682787331644
NR2F1-AS1	hsa-miR-29b-3p	TGFB3	BLCA	0.352156997502834
NR2F1-AS1	hsa-miR-29c-3p	ADAM12	BLCA	0.351982638759724
MBNL1-AS1	hsa-miR-16-1-3p	TWIST1	BLCA	0.350582901284931
TRG-AS1	hsa-miR-183-5p	NFIL3	BLCA	0.349700278503837
RP11-54O7.3	hsa-miR-27a-5p	BMP3	BLCA	0.349204131971805
TRG-AS1	hsa-miR-98-5p	CCND2	BLCA	0.348657312378632
TRG-AS1	hsa-miR-98-5p	CCL2	BLCA	0.348611784441225
MIR4435-2HG	hsa-miR-210-3p	BTK	BLCA	0.348151222553175
RP11-588K22.2	hsa-miR-103a-3p	RUNX2	BLCA	0.348107568263643
NR2F1-AS1	hsa-miR-29c-3p	CDK6	BLCA	0.347541156074053
NR2F1-AS1	hsa-miR-29c-3p	BACE1	BLCA	0.347533089634775
THUMPD3-AS1	hsa-miR-29a-3p	TRAF4	BLCA	0.346827758040911
NR2F1-AS1	hsa-miR-29b-3p	FBN1	BLCA	0.346034099013706
RP5-899E9.1	hsa-miR-98-5p	CCL5	BLCA	0.345986799750882
NR2F1-AS1	hsa-miR-29b-3p	PXDN	BLCA	0.345766331918081
TUG1	hsa-miR-29a-3p	DNMT3A	BLCA	0.345612382899287
TUG1	hsa-miR-29a-3p	TDG	BLCA	0.345372206779631
TRG-AS1	hsa-miR-98-5p	IGF1	BLCA	0.34514681658184
TUG1	hsa-miR-29a-3p	TET2	BLCA	0.344260104906764
RP5-899E9.1	hsa-miR-98-5p	IL6	BLCA	0.343475666668649
RP5-899E9.1	hsa-let-7g-5p	THBS1	BLCA	0.343442259044974
NR2F1-AS1	hsa-miR-29c-3p	LAMC1	BLCA	0.343262982280348
THUMPD3-AS1	hsa-miR-29a-3p	DNMT3A	BLCA	0.342972971579482
DLX6-AS1	hsa-miR-146b-5p	ERBB4	BLCA	0.341445377232512
NR2F1-AS1	hsa-miR-29b-3p	SPARC	BLCA	0.341327320669581
NR2F1-AS1	hsa-miR-29b-3p	NID1	BLCA	0.340911526983873
MBNL1-AS1	hsa-miR-16-1-3p	BCL2	BLCA	0.34050777091712
RP11-147L13.12	hsa-miR-155-5p	ZNF493	BLCA	0.340229879209251
RP11-588K22.2	hsa-miR-103a-3p	MEF2D	BLCA	0.338519529428112
RP11-147L13.12	hsa-miR-155-5p	THRB	BLCA	0.338443151345203
RP11-363E7.4	hsa-miR-142-5p	TP53INP1	BLCA	0.337974810858315
TRG-AS1	hsa-miR-183-5p	EGR1	BLCA	0.337903666392158
TUG1	hsa-miR-29a-3p	SETDB1	BLCA	0.337494006472214
RP11-161M6.2	hsa-miR-96-5p	ZEB1	BLCA	0.336914606170953
RP5-1074L1.4	hsa-miR-29a-3p	DNMT3A	BLCA	0.336677827482856
THUMPD3-AS1	hsa-miR-29a-3p	CCNT2	BLCA	0.336291012733172
NR2F1-AS1	hsa-miR-29b-3p	COL5A2	BLCA	0.335811265188288
NR2F1-AS1	hsa-miR-29c-3p	MMP2	BLCA	0.335797214375292
SLC16A1-AS1	hsa-miR-130b-3p	CSF1	BLCA	0.335294199171172
DPYD-AS1	hsa-miR-103a-3p	CAV1	BLCA	0.335178107746348
LINC-PINT	hsa-miR-203a-3p	IL15	BLCA	0.334776217249873
SLC16A1-AS1	hsa-miR-130b-3p	NR3C1	BLCA	0.334650020337306
NR2F1-AS1	hsa-miR-29b-3p	PDGFRB	BLCA	0.334614326189096
RP11-819C21.1	hsa-miR-221-3p	CREBZF	BLCA	0.334603634885601
NR2F1-AS1	hsa-miR-29c-3p	COL4A2	BLCA	0.333942365276268
RP11-147L13.12	hsa-miR-155-5p	PAXBP1	BLCA	0.333205662066474
RP11-588K22.2	hsa-miR-103a-3p	CDK6	BLCA	0.332957555807404
EIF3J-AS1	hsa-miR-27a-3p	PPARG	BLCA	0.332951830603584
TRG-AS1	hsa-let-7g-5p	COL1A2	BLCA	0.332823107511681
NR2F1-AS1	hsa-miR-29b-3p	LOX	BLCA	0.332288777280809
RP4-758J18.2	hsa-miR-29a-3p	TRAF4	BLCA	0.332176656258877
TUG1	hsa-miR-29a-3p	VEGFA	BLCA	0.33172471202359
CASC11	hsa-miR-449a	MYC	BLCA	0.331295122124732
TRG-AS1	hsa-let-7d-5p	COL3A1	BLCA	0.331241114207507
TUG1	hsa-miR-29a-3p	ALDH5A1	BLCA	0.331133578761226
